r1_10_1_100_norm120-30_2

VEHICLE
NUMBER	CAPACITY	WORLD_RECORD
250	200	250


CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

0	250	250	0	0	1925	0
1	171	34	21	1294	1411	10
2	67	190	25	425	623	10
3	80	400	10	1224	1357	10
4	439	237	11	1344	1478	10
5	377	385	6	992	1111	10
6	449	428	25	837	982	10
7	342	481	18	402	541	10
8	466	149	16	238	402	10
9	83	290	14	851	949	10
10	251	63	14	1114	1275	10
11	328	491	21	508	596	10
12	260	472	33	737	883	10
13	290	145	5	916	990	10
14	266	221	9	1738	1858	10
15	164	320	12	1533	1658	10
16	52	412	22	1436	1528	10
17	485	104	21	1568	1638	10
18	144	331	13	1350	1466	10
19	387	394	8	463	549	10
20	472	57	17	1350	1465	10
21	343	276	15	315	449	10
22	104	349	20	1505	1625	10
23	28	467	34	723	772	10
24	91	427	14	607	696	10
25	429	476	23	1021	1177	10
26	210	276	5	102	211	10
27	58	39	12	1459	1549	10
28	273	300	30	679	805	10
29	41	232	16	1348	1433	10
30	25	53	23	1177	1291	10
31	52	18	28	1175	1270	10
32	27	444	22	935	1065	10
33	178	72	23	842	969	10
34	406	460	2	1107	1211	10
35	250	328	24	1211	1376	10
36	492	34	5	559	684	10
37	412	100	1	1267	1395	10
38	233	87	18	1585	1715	10
39	60	5	18	1295	1435	10
40	406	408	15	1252	1340	10
41	245	42	24	1377	1500	10
42	166	345	14	126	264	10
43	440	294	16	394	528	10
44	370	382	11	663	758	10
45	32	319	21	1252	1342	10
46	480	136	22	1604	1650	10
47	371	163	21	1263	1405	10
48	0	188	26	874	982	10
49	438	5	18	1422	1583	10
50	132	477	25	727	842	10
51	203	211	20	1147	1274	10
52	2	264	40	248	408	10
53	231	167	15	315	481	10
54	423	221	9	590	681	10
55	459	53	20	761	851	10
56	386	154	31	825	961	10
57	130	494	6	1313	1414	10
58	31	175	24	570	704	10
59	69	423	32	295	439	10
60	352	241	5	940	1048	10
61	261	201	15	1792	1864	10
62	59	276	11	738	871	10
63	146	188	6	488	614	10
64	451	62	5	1265	1402	10
65	299	285	3	1101	1226	10
66	142	372	18	162	282	10
