r1_10_1_50_10_1

VEHICLE
NUMBER	CAPACITY	WORLD_RECORD
250	200	250


CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME

0	250	250	0	0	1925	0
1	171	34	21	0	1685	10
2	67	190	25	1289	1299	10
3	80	400	10	226	236	10
4	439	237	11	0	1725	10
5	377	385	6	406	416	10
6	449	428	25	389	399	10
7	342	481	18	507	517	10
8	466	149	16	730	740	10
9	83	290	14	790	800	10
10	251	63	14	1012	1022	10
11	328	491	21	0	1661	10
12	260	472	33	0	1692	10
13	290	145	5	452	462	10
14	266	221	9	0	1881	10
15	164	320	12	152	162	10
16	52	412	22	0	1659	10
17	485	104	21	839	849	10
18	144	331	13	1049	1059	10
19	387	394	8	406	416	10
20	472	57	17	0	1620	10
21	343	276	15	1470	1480	10
22	104	349	20	0	1738	10
23	28	467	34	0	1604	10
24	91	427	14	1229	1239	10
25	429	476	23	1456	1466	10
26	210	276	5	0	1867	10
27	58	39	12	0	1629	10
28	273	300	30	120	130	10
29	41	232	16	0	1705	10
30	25	53	23	0	1615	10
31	52	18	28	0	1609	10
32	27	444	22	848	858	10
33	178	72	23	1653	1663	10
34	406	460	2	0	1653	10
35	250	328	24	0	1837	10
36	492	34	5	0	1590	10
37	412	100	1	1227	1237	10
38	233	87	18	0	1751	10
39	60	5	18	0	1604	10
40	406	408	15	0	1692	10
41	245	42	24	1685	1695	10
42	166	345	14	1364	1374	10
43	440	294	16	617	627	10
44	370	382	11	0	1736	10
45	32	319	21	374	384	10
46	480	136	22	0	1658	10
47	371	163	21	1613	1623	10
48	0	188	26	663	673	10
49	438	5	18	0	1606	10
50	132	477	25	0	1659	10
51	203	211	20	90	100	10
52	2	264	40	0	1666	10
53	231	167	15	449	459	10
54	423	221	9	0	1739	10
55	459	53	20	941	951	10
56	386	154	31	0	1748	10
57	130	494	6	1054	1064	10
58	31	175	24	0	1683	10
59	69	423	32	0	1664	10
60	352	241	5	0	1812	10
61	261	201	15	0	1864	10
62	59	276	11	0	1722	10
63	146	188	6	0	1793	10
64	451	62	5	835	845	10
65	299	285	3	0	1854	10
66	142	372	18	1009	1019	10
67	440	201	29	1201	1211	10
68	219	210	14	0	1864	10
69	64	198	10	0	1721	10
70	390	249	21	0	1774	10
71	9	101	16	1496	1506	10
72	424	288	13	0	1736	10
73	77	372	19	414	424	10
74	298	264	36	0	1865	10
75	405	454	11	808	818	10
76	407	35	11	489	499	10
77	225	369	38	1667	1677	10
78	347	459	25	0	1684	10
79	117	178	28	1356	1366	10
80	132	479	11	1268	1278	10
81	201	66	14	0	1724	10
82	245	176	20	0	1840	10
83	470	138	16	0	1668	10
84	115	296	24	0	1772	10
85	348	476	19	0	1668	10
86	43	210	20	0	1704	10
87	327	139	13	834	844	10
88	49	353	15	1632	1642	10
89	356	256	19	0	1808	10
90	335	99	25	1143	1153	10
91	363	34	19	402	412	10
92	33	278	18	0	1696	10
93	366	288	29	0	1792	10
94	452	172	9	1068	1078	10
95	86	189	21	0	1740	10
96	262	369	15	511	521	10
97	218	403	15	1598	1608	10
98	218	12	3	1058	1068	10
99	228	399	14	0	1764	10
100	492	188	33	0	1665	10
101	267	174	34	0	1837	10
102	274	441	12	0	1722	10
103	210	113	28	1581	1591	10
104	370	262	15	0	1794	10
105	303	186	10	0	1831	10
106	241	180	13	1171	1181	10
107	100	85	14	241	251	10
108	350	199	21	1678	1688	10
109	500	228	8	1222	1232	10
110	251	238	27	1892	1902	10
111	114	102	21	0	1714	10
112	345	146	27	359	369	10
113	21	146	21	0	1663	10
114	330	147	28	1278	1288	10
115	476	61	36	0	1620	10
116	386	245	16	0	1778	10
117	201	278	13	1410	1420	10
118	421	499	23	1507	1517	10
119	426	231	24	1282	1292	10
120	105	137	32	371	381	10
121	64	437	11	286	296	10
122	181	260	23	111	121	10
123	413	391	8	0	1699	10
124	370	493	22	604	614	10
125	447	267	19	1499	1509	10
126	232	101	24	0	1764	10
127	371	332	14	1038	1048	10
128	447	383	17	1444	1454	10
129	325	147	14	0	1787	10
130	489	437	29	0	1611	10
131	415	95	15	1077	1087	10
132	331	356	13	1726	1736	10
133	374	346	27	1050	1060	10
134	108	37	23	0	1659	10
135	5	224	19	1380	1390	10
136	93	413	17	562	572	10
137	210	29	13	1402	1412	10
138	136	265	12	0	1800	10
139	409	155	19	1514	1524	10
140	111	178	18	0	1758	10
141	291	251	20	1055	1065	10
142	322	290	23	316	326	10
143	57	183	15	0	1710	10
144	181	185	19	0	1820	10
145	7	382	27	0	1638	10
146	425	448	9	408	418	10
147	174	41	15	0	1692	10
148	161	276	8	1320	1330	10
149	398	49	21	0	1665	10
150	210	379	12	0	1779	10
151	60	231	32	0	1724	10
152	453	360	13	0	1684	10
153	367	97	17	0	1722	10
154	488	3	3	587	597	10
155	44	115	24	600	610	10
156	48	293	22	1318	1328	10
157	64	135	11	502	512	10
158	65	62	15	0	1651	10
159	404	207	6	0	1755	10
160	68	303	22	0	1725	10
161	263	418	25	0	1746	10
162	147	30	26	943	953	10
163	384	149	18	0	1747	10
164	340	416	36	0	1726	10
165	271	128	12	380	390	10
166	89	358	23	217	227	10
167	20	480	25	408	418	10
168	488	173	25	0	1664	10
169	439	156	2	0	1703	10
170	389	156	27	1061	1071	10
171	111	392	18	675	685	10
172	267	162	6	1800	1810	10
173	248	176	32	0	1840	10
174	413	476	34	789	799	10
175	352	481	15	0	1662	10
176	264	135	1	1365	1375	10
177	29	462	17	0	1608	10
178	148	462	10	0	1679	10
179	44	140	11	0	1681	10
180	414	378	23	0	1706	10
181	392	95	16	0	1704	10
182	216	341	19	453	463	10
183	211	411	15	0	1749	10
184	317	45	8	0	1699	10
185	178	150	33	0	1791	10
186	428	302	27	1423	1433	10
187	450	45	24	541	551	10
188	453	318	30	1159	1169	10
189	186	135	24	0	1783	10
190	11	403	18	0	1631	10
191	433	447	20	626	636	10
